61.94	29.67	20.48	98.76	21.39
61.92	29.64	20.79	99	21.83
61.58	29.68	20.32	98.58	21.43
61.97	29.23	20.71	98.58	21.5
78.21	54.47	59.7	65.4	23.97
78.01	54.7	59.96	65.5	24.15
78.23	54.38	59.62	65.32	24.12
78.29	54.44	59.69	65.46	24.06
94.49	79.27	98.92	32.04	26.55
94.09	79.77	99.14	32	26.48
94.88	79.09	98.91	32.06	26.82
94.61	79.65	98.66	32.34	26.62
57.71	49.48	89.93	32.81	37.93
57.33	49.71	89.85	33.01	38
58.02	49.51	89.9	32.84	38.24
57.99	49.9	89.84	33.21	37.89
20.93	19.69	80.93	33.58	49.32
20.56	19.65	80.57	34.01	49.52
21.15	19.93	80.9	33.62	49.66
21.36	20.15	81.02	34.08	49.15
