15	122	93	42	107	89	23	90	99	142
66	55	176	48	171	154	17	10	149	191
96	31	115	81	34	113	54	114	187	183
2	113	114	164	187	54	180	72	31	81
186	151	73	21	58	160	143	114	20	50
65	18	45	27	199	40	124	29	135	159
87	132	138	46	52	119	41	83	189	126
27	197	139	179	169	65	18	53	159	29
173	82	34	33	63	19	133	145	96	92
60	82	172	8	173	90	116	37	54	183
17	149	66	55	48	180	191	154	176	72
136	150	88	70	22	32	18	188	45	140
85	148	121	13	52	145	182	43	132	111
62	85	120	133	155	145	43	162	189	121
131	145	138	30	87	132	46	63	158	119
93	42	0	122	107	89	142	167	141	90
143	170	98	160	71	38	78	21	196	74
191	10	66	55	176	154	171	149	48	1
65	29	45	199	32	5	40	112	68	188
183	54	96	33	92	134	2	187	34	166
51	47	160	58	186	50	94	151	73	10
80	143	71	174	98	106	195	4	86	113
113	28	114	134	95	112	57	31	186	104
161	144	99	152	148	130	178	0	37	90
159	112	39	179	29	181	128	45	40	32
94	160	49	47	190	151	98	129	50	174
77	149	48	10	180	176	37	55	157	65
65	53	159	5	139	124	18	135	179	29
112	134	95	140	45	183	54	104	68	61
18	188	24	32	65	112	40	39	159	68
14	63	145	33	138	87	34	155	131	62
114	113	2	81	91	195	137	187	115	164
112	18	95	45	140	40	199	188	29	104
34	96	63	183	19	54	92	2	30	187
33	96	2	187	54	92	183	19	63	115
54	92	183	31	104	19	113	114	134	57
35	54	104	183	31	19	92	187	34	113
187	166	183	92	123	54	164	72	104	19
196	170	74	78	97	163	71	195	137	174
24	159	40	128	29	53	181	179	112	188
140	112	39	32	188	45	18	29	199	24
6	132	87	138	153	46	141	175	167	83
93	15	89	107	167	142	141	122	0	175
121	85	133	120	189	13	62	162	141	155
88	79	136	122	0	84	11	150	15	18
112	140	18	199	65	95	32	28	40	5
132	52	6	87	138	126	175	189	119	162
20	94	160	151	50	191	17	186	51	10
176	154	10	180	149	66	1	55	17	164
75	25	47	190	17	160	94	191	151	50
58	73	51	20	160	186	47	94	151	114
58	20	160	50	186	174	94	151	196	73
189	162	126	46	132	87	83	6	85	175
159	27	39	124	139	29	135	65	24	18
183	19	96	2	92	187	34	33	134	118
66	17	149	10	171	176	154	191	1	48
72	76	17	10	94	98	164	191	180	127
113	114	31	91	35	164	67	22	2	180
50	73	51	186	20	160	143	151	4	94
195	114	69	31	102	81	78	137	113	2
9	90	198	104	116	37	148	19	82	111
180	187	95	28	54	3	164	183	104	72
155	13	120	133	145	33	121	43	63	14
30	33	145	34	14	92	133	62	96	19
67	10	17	191	180	160	66	186	55	3
18	45	27	5	157	199	29	124	197	32
154	55	176	17	10	1	191	48	149	171
64	113	91	57	114	186	160	31	180	22
95	18	112	28	104	45	32	29	188	140
137	195	74	78	115	102	129	163	31	59
55	10	159	17	66	112	168	180	20	22
74	163	196	86	106	195	38	170	137	78
164	187	113	183	2	31	180	3	114	81
58	186	50	4	151	160	51	114	20	143
38	196	137	163	170	78	71	195	69	174
49	181	128	191	25	188	24	112	47	55
21	113	94	160	98	80	25	195	3	56
157	26	65	176	199	149	48	55	154	10
137	195	115	196	163	74	38	170	69	146
122	44	15	0	136	42	93	23	90	89
106	174	86	71	21	38	98	74	129	170
2	31	115	114	137	113	195	54	187	78
8	173	33	19	34	145	62	133	63	90
108	162	189	126	52	119	175	132	6	85
150	0	122	88	136	156	79	11	15	117
189	162	52	43	108	13	142	141	148	175
106	71	80	74	174	129	98	195	21	137
138	6	132	46	52	14	131	119	145	155
136	150	44	11	84	122	188	0	79	18
142	93	107	141	167	42	85	90	175	15
198	142	89	111	148	85	177	107	82	12
31	114	113	81	195	2	51	58	186	137
183	54	34	19	123	187	2	96	33	37
42	167	89	107	141	15	142	175	85	108
190	160	47	25	51	50	20	58	98	186
104	140	183	28	112	54	32	45	134	68
33	2	34	54	19	183	187	92	115	81
103	196	38	163	170	78	74	195	102	71
174	106	71	160	80	151	86	16	21	74
130	23	109	152	148	107	144	161	0	93
156	117	99	35	18	32	45	104	95	199
64	55	10	191	17	180	3	113	47	164
196	103	74	69	78	38	195	97	59	137
97	196	102	78	38	163	195	74	170	137
95	183	54	140	19	134	118	32	187	28
110	161	193	178	152	144	130	23	148	169
80	86	174	71	74	98	129	38	21	137
89	142	93	42	15	111	141	167	90	148
83	162	189	126	175	52	141	85	167	132
99	144	130	23	193	152	110	105	93	107
193	105	161	178	152	144	23	130	148	93
142	85	90	148	12	153	89	107	198	46
140	28	45	24	95	32	40	194	159	29
114	31	2	164	72	195	81	91	3	187
31	113	2	81	91	195	3	164	59	72
137	78	195	2	81	69	163	96	31	34
172	8	173	82	90	111	19	198	183	133
32	18	45	199	68	65	104	29	95	188
54	183	19	92	104	134	2	96	187	164
138	132	83	6	87	52	126	131	46	162
62	133	13	155	121	43	145	85	33	19
43	120	85	62	155	13	12	133	145	175
15	0	42	93	79	90	107	142	89	84
92	183	54	187	19	37	166	34	134	95
65	27	53	18	5	159	29	199	45	197
68	18	37	45	104	135	140	28	134	164
162	52	189	83	132	108	175	46	119	85
3	2	164	72	187	180	113	183	96	54
181	24	39	188	75	159	29	32	112	53
174	74	106	69	86	80	151	71	98	38
152	148	161	99	85	142	90	89	23	93
14	138	145	132	87	158	119	126	46	52
138	87	46	6	52	119	126	131	189	14
120	13	62	43	33	145	85	63	34	121
28	19	54	183	104	95	187	118	92	123
53	5	27	159	18	40	29	65	139	168
88	150	11	188	180	140	104	95	37	68
78	115	195	69	163	74	2	196	170	71
87	132	131	6	14	119	46	52	41	126
179	159	27	29	24	53	169	147	194	65
112	40	95	45	28	104	183	32	199	188
167	175	189	89	108	85	93	162	142	41
89	107	111	85	90	141	153	93	148	175
186	160	16	21	196	58	38	71	98	195
23	109	178	110	161	99	193	105	152	15
14	131	63	30	87	13	155	138	62	33
195	163	78	137	170	115	74	71	69	196
139	179	159	27	40	65	5	194	53	18
152	85	161	12	177	130	142	111	90	89
10	55	48	176	66	17	154	180	26	191
84	136	88	11	36	0	117	104	68	37
174	186	160	98	4	47	106	129	80	51
148	161	130	85	12	182	142	105	52	23
41	132	142	46	85	87	6	141	52	167
176	66	48	55	10	17	1	149	191	171
62	120	13	87	145	14	121	85	6	30
100	117	18	99	29	23	45	65	32	68
65	77	199	18	55	149	32	45	26	171
131	14	145	132	138	119	41	182	126	87
179	24	139	39	53	112	29	27	168	40
186	51	94	143	98	151	20	174	47	50
152	148	178	130	23	110	105	85	165	93
189	108	83	126	52	85	132	175	141	87
137	74	170	196	78	195	71	38	97	146
72	187	113	183	2	3	180	31	114	54
166	37	148	187	123	182	152	161	92	183
183	19	37	54	92	123	187	134	96	34
141	93	89	175	108	189	85	162	52	41
159	112	24	32	140	179	28	40	65	18
179	139	159	40	112	199	27	5	45	24
38	163	74	196	78	137	71	97	195	16
55	17	66	1	176	191	154	149	10	48
173	8	192	116	82	198	90	92	166	19
